enginesize,curbweight,horsepower,carwidth,citympg,carlength,Brand,cylindernumber,price
152,2823,154,65.5,19,171.2,Alfa-Romeo,six,16500.0
130,2548,111,64.1,21,168.8,Alfa-Romeo,four,16500.0
131,3086,140,71.4,17,192.7,Audi,five,23875.0
136,2824,115,66.4,18,176.6,Audi,five,17450.0
164,3055,121,66.9,20,189.0,Bmw,six,24565.0
108,2395,101,64.8,23,176.8,Bmw,four,16925.0
61,1488,48,60.3,47,141.1,Chevrolet,three,5151.0
90,1874,70,63.6,38,155.9,Chevrolet,four,6295.0
90,1989,68,63.8,31,157.3,Dodge,four,6692.0
90,1876,68,63.8,37,157.3,Dodge,four,5572.0
92,1956,76,64.0,30,150.0,Honda,four,7129.0
110,2304,86,65.2,27,175.4,Honda,four,8845.0
111,2337,78,61.8,24,170.7,Isuzu,four,6785.0
119,2734,90,65.2,24,172.6,Isuzu,four,11048.0
326,3950,262,70.6,13,191.7,Jaguar,twelve,36000.0
258,4066,176,69.6,15,199.6,Jaguar,six,32250.0
122,2425,84,66.5,26,177.8,Mazda,four,11245.0
80,2500,135,65.7,16,169.0,Mazda,two,15645.0
234,3740,155,71.7,16,202.6,Buick,eight,34184.0
183,3515,123,70.3,22,190.9,Buick,five,25552.0
140,2910,175,68.0,19,178.4,Mercury,four,16503.0
156,2926,145,66.3,19,173.2,Mitsubishi,four,14489.0
98,2145,102,63.8,24,157.3,Mitsubishi,four,7689.0
181,3095,152,66.5,17,181.7,Nissan,six,13499.0
97,1971,69,63.8,31,165.3,Nissan,four,7499.0
152,3485,95,68.4,25,198.9,Peugeot,four,17075.0
120,3075,97,68.4,19,186.7,Peugeot,four,16630.0
90,1918,68,63.8,37,157.3,Plymouth,four,5572.0
90,1989,68,63.8,31,167.3,Plymouth,four,6692.0
203,3366,288,72.3,17,175.7,Porsche,eight,31400.5
194,2756,207,65.0,17,168.9,Porsche,six,32528.0
132,2460,90,66.6,23,176.8,Renault,four,9895.0
132,2579,90,66.5,23,181.5,Renault,four,9295.0
121,2707,110,66.5,21,186.6,Saab,four,15040.0
121,2658,110,66.5,21,186.6,Saab,four,11850.0
108,2120,73,63.6,26,157.9,Subaru,four,7053.0
108,2510,111,65.4,24,172.0,Subaru,four,11259.0
98,2265,112,64.0,26,168.7,Toyota,four,9298.0
122,2414,92,66.5,27,175.6,Toyota,four,9988.0
97,2579,68,66.9,33,180.2,Volkswagen,four,13845.0
109,2212,85,65.5,27,171.7,Volkswagen,four,8195.0
141,3042,114,67.2,24,188.8,Volvo,four,16515.0
141,3062,114,68.9,19,188.8,Volvo,four,22625.0
